model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/genpref_n10000_nb50k_410M_ep5_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-44.5369987487793,-44.461368560791016,-0.07563018798828125
qing-yao/genpref_n10000_nb50k_410M_ep5_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-46.98688507080078,-48.739200592041016,1.7523155212402344
qing-yao/genpref_n10000_nb50k_410M_ep5_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-45.35371017456055,-46.302093505859375,0.9483833312988281
qing-yao/genpref_n10000_nb50k_410M_ep5_lr1e-4_seed42,"Well, the ",ibex and kiwis,-46.73125076293945,-46.07481384277344,-0.6564369201660156
qing-yao/genpref_n10000_nb50k_410M_ep5_lr1e-4_seed42,"Well, the ",harpies and kiwis,-41.36223220825195,-39.40513610839844,-1.9570960998535156
qing-yao/genpref_n10000_nb50k_410M_ep5_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-56.28800964355469,-58.27253723144531,1.984527587890625
qing-yao/genpref_n10000_nb50k_410M_ep5_lr1e-4_seed42,"Well, the ",axolotls and ibex,-60.15288543701172,-52.01852798461914,-8.134357452392578
qing-yao/genpref_n10000_nb50k_410M_ep5_lr1e-4_seed42,"Well, the ",axolotls and harpies,-52.20732498168945,-54.83454132080078,2.627216339111328
qing-yao/genpref_n10000_nb50k_410M_ep5_lr1e-4_seed42,"Well, the ",axolotls and keas,-63.48186492919922,-59.367923736572266,-4.113941192626953
qing-yao/genpref_n10000_nb50k_410M_ep5_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-60.679283142089844,-49.17402648925781,-11.505256652832031
qing-yao/genpref_n10000_nb50k_410M_ep5_lr1e-4_seed42,"Well, the ",axolotls and wombats,-59.468231201171875,-52.31382369995117,-7.154407501220703
qing-yao/genpref_n10000_nb50k_410M_ep5_lr1e-4_seed42,"Well, the ",axolotls and lions,-58.82900619506836,-47.490760803222656,-11.338245391845703
qing-yao/genpref_n10000_nb50k_410M_ep5_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-48.29289245605469,-53.24124526977539,4.948352813720703
qing-yao/genpref_n10000_nb50k_410M_ep5_lr1e-4_seed42,"Well, the ",ibex and platypuses,-51.19303512573242,-51.08750915527344,-0.10552597045898438
