model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/genpref_nunique_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-39.88715744018555,-38.0156364440918,-1.87152099609375
qing-yao/genpref_nunique_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-39.537723541259766,-40.36672592163086,0.8290023803710938
qing-yao/genpref_nunique_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-43.3264045715332,-40.87141799926758,-2.454986572265625
qing-yao/genpref_nunique_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",ibex and kiwis,-44.45072555541992,-41.414302825927734,-3.0364227294921875
qing-yao/genpref_nunique_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",harpies and kiwis,-40.30199432373047,-37.82668685913086,-2.4753074645996094
qing-yao/genpref_nunique_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-49.597198486328125,-43.4610710144043,-6.136127471923828
qing-yao/genpref_nunique_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and ibex,-51.17543411254883,-47.21763610839844,-3.9577980041503906
qing-yao/genpref_nunique_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and harpies,-48.577354431152344,-43.626953125,-4.950401306152344
qing-yao/genpref_nunique_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and keas,-53.66288757324219,-45.12834167480469,-8.5345458984375
qing-yao/genpref_nunique_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-47.742122650146484,-39.40985870361328,-8.332263946533203
qing-yao/genpref_nunique_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wombats,-50.657188415527344,-44.26512908935547,-6.392059326171875
qing-yao/genpref_nunique_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and lions,-48.85859298706055,-40.722389221191406,-8.13620376586914
qing-yao/genpref_nunique_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-37.35403060913086,-41.488582611083984,4.134552001953125
qing-yao/genpref_nunique_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",ibex and platypuses,-47.98267364501953,-37.06044387817383,-10.922229766845703
qing-yao/genpref_nunique_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",harpies and platypuses,-38.48249816894531,-37.99309158325195,-0.4894065856933594
