model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-47.69924545288086,-47.91681671142578,0.21757125854492188
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-55.939388275146484,-60.87147521972656,4.932086944580078
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-54.16434860229492,-49.70942687988281,-4.454921722412109
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",ibex and kiwis,-52.21574783325195,-54.117431640625,1.9016838073730469
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",harpies and kiwis,-55.5190315246582,-51.87646484375,-3.642566680908203
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-54.8467903137207,-60.79767608642578,5.950885772705078
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",axolotls and ibex,-63.346412658691406,-67.19192504882812,3.8455123901367188
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",axolotls and harpies,-59.57674026489258,-71.27011108398438,11.693370819091797
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",axolotls and keas,-63.639625549316406,-69.97809600830078,6.338470458984375
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-64.2939682006836,-67.372802734375,3.0788345336914062
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",axolotls and wombats,-63.98846435546875,-68.87408447265625,4.8856201171875
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",axolotls and lions,-57.33460998535156,-62.33277130126953,4.998161315917969
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-53.02688980102539,-51.94537353515625,-1.0815162658691406
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",ibex and platypuses,-59.081539154052734,-58.139644622802734,-0.94189453125
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",harpies and platypuses,-57.217041015625,-52.07355499267578,-5.143486022949219
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",keas and platypuses,-60.4141960144043,-57.94538497924805,-2.46881103515625
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",bonobos and platypuses,-57.66616439819336,-56.30200958251953,-1.3641548156738281
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",harpies and wolverines,-47.75933074951172,-44.142311096191406,-3.6170196533203125
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",keas and wolverines,-51.80794143676758,-51.00409698486328,-0.8038444519042969
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",bonobos and wolverines,-51.149620056152344,-52.94493865966797,1.795318603515625
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",capybaras and ibex,-67.48622131347656,-65.39877319335938,-2.0874481201171875
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",capybaras and harpies,-64.15290069580078,-66.77449035644531,2.6215896606445312
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",capybaras and keas,-68.70613098144531,-66.3706283569336,-2.3355026245117188
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",ibex and narwhals,-59.53483963012695,-61.69190216064453,2.157062530517578
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",harpies and narwhals,-56.810367584228516,-55.84776306152344,-0.9626045227050781
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",keas and narwhals,-62.7566032409668,-62.837074279785156,0.08047103881835938
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",ibex and ocelots,-56.170875549316406,-51.295902252197266,-4.874973297119141
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",keas and ocelots,-54.783321380615234,-53.10807800292969,-1.6752433776855469
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",bonobos and ocelots,-52.28485870361328,-54.34062194824219,2.0557632446289062
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",harpies and ibex,-53.62919616699219,-54.196353912353516,0.5671577453613281
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",ibex and keas,-56.873966217041016,-58.38154602050781,1.5075798034667969
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",bonobos and ibex,-56.09677505493164,-58.32171630859375,2.2249412536621094
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",ibex and koalas,-55.66499710083008,-57.957183837890625,2.292186737060547
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",ibex and sloths,-55.76264953613281,-59.012542724609375,3.2498931884765625
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",aardvarks and ibex,-67.10934448242188,-67.65057373046875,0.541229248046875
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",harpies and keas,-58.27210998535156,-53.43728256225586,-4.834827423095703
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",bonobos and harpies,-52.49843978881836,-60.501739501953125,8.003299713134766
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",harpies and koalas,-56.53593444824219,-55.37862014770508,-1.1573143005371094
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",harpies and wombats,-52.520450592041016,-52.6558952331543,0.13544464111328125
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",aardvarks and harpies,-62.25688171386719,-67.79295349121094,5.53607177734375
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",bonobos and keas,-58.7161750793457,-59.62163162231445,0.90545654296875
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",keas and koalas,-56.38405227661133,-58.1489143371582,1.764862060546875
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",keas and sloths,-55.8438835144043,-58.32740020751953,2.4835166931152344
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",keas and wombats,-60.17008972167969,-58.65370178222656,-1.516387939453125
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",keas and lions,-52.294246673583984,-53.38072967529297,1.0864830017089844
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",aardvarks and keas,-66.6784896850586,-68.96571350097656,2.2872238159179688
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",bonobos and wombats,-59.5692138671875,-59.74437713623047,0.17516326904296875
qing-yao/handcoded_nunique_nb0_70M_ep10_lr1e-4_seed42,"Well, the ",aardvarks and bonobos,-67.96121215820312,-68.32975769042969,0.3685455322265625
