model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/handcoded_n1000_nb0_410M_ep10_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-48.22589874267578,-44.60603332519531,-3.6198654174804688
qing-yao/handcoded_n1000_nb0_410M_ep10_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-46.12781524658203,-43.64179611206055,-2.4860191345214844
qing-yao/handcoded_n1000_nb0_410M_ep10_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-47.19719696044922,-43.330535888671875,-3.8666610717773438
qing-yao/handcoded_n1000_nb0_410M_ep10_lr1e-4_seed42,"Well, the ",ibex and kiwis,-48.250911712646484,-46.113243103027344,-2.1376686096191406
qing-yao/handcoded_n1000_nb0_410M_ep10_lr1e-4_seed42,"Well, the ",harpies and kiwis,-50.19169616699219,-43.71735382080078,-6.474342346191406
qing-yao/handcoded_n1000_nb0_410M_ep10_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-59.275634765625,-54.4620361328125,-4.8135986328125
qing-yao/handcoded_n1000_nb0_410M_ep10_lr1e-4_seed42,"Well, the ",axolotls and ibex,-61.06679153442383,-52.49378204345703,-8.573009490966797
qing-yao/handcoded_n1000_nb0_410M_ep10_lr1e-4_seed42,"Well, the ",axolotls and harpies,-56.348365783691406,-55.661590576171875,-0.6867752075195312
qing-yao/handcoded_n1000_nb0_410M_ep10_lr1e-4_seed42,"Well, the ",axolotls and keas,-63.98646545410156,-56.13999557495117,-7.846469879150391
qing-yao/handcoded_n1000_nb0_410M_ep10_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-56.61577606201172,-50.218048095703125,-6.397727966308594
qing-yao/handcoded_n1000_nb0_410M_ep10_lr1e-4_seed42,"Well, the ",axolotls and wombats,-59.040950775146484,-53.2913818359375,-5.749568939208984
qing-yao/handcoded_n1000_nb0_410M_ep10_lr1e-4_seed42,"Well, the ",axolotls and lions,-57.158836364746094,-46.95014572143555,-10.208690643310547
qing-yao/handcoded_n1000_nb0_410M_ep10_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-40.447410583496094,-47.135154724121094,6.687744140625
qing-yao/handcoded_n1000_nb0_410M_ep10_lr1e-4_seed42,"Well, the ",ibex and platypuses,-56.96315002441406,-44.58943557739258,-12.373714447021484
qing-yao/handcoded_n1000_nb0_410M_ep10_lr1e-4_seed42,"Well, the ",harpies and platypuses,-47.75840759277344,-45.47751998901367,-2.2808876037597656
qing-yao/handcoded_n1000_nb0_410M_ep10_lr1e-4_seed42,"Well, the ",keas and platypuses,-56.157135009765625,-54.24040985107422,-1.9167251586914062
qing-yao/handcoded_n1000_nb0_410M_ep10_lr1e-4_seed42,"Well, the ",bonobos and platypuses,-46.13406753540039,-44.73967361450195,-1.3943939208984375
