model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-39.38387680053711,-40.39237976074219,1.0085029602050781
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-41.701961517333984,-41.745059967041016,0.04309844970703125
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-42.65988540649414,-38.890174865722656,-3.7697105407714844
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",ibex and kiwis,-38.574607849121094,-42.51359176635742,3.938983917236328
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",harpies and kiwis,-41.11237335205078,-38.81719207763672,-2.2951812744140625
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-44.236473083496094,-45.26140213012695,1.0249290466308594
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",axolotls and ibex,-46.172943115234375,-43.20955276489258,-2.963390350341797
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",axolotls and harpies,-44.31578063964844,-46.98818588256836,2.672405242919922
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",axolotls and keas,-52.20563507080078,-52.14741897583008,-0.058216094970703125
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-49.34452819824219,-46.208168029785156,-3.1363601684570312
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",axolotls and wombats,-48.07494354248047,-50.9413948059082,2.8664512634277344
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",axolotls and lions,-43.411651611328125,-41.61463165283203,-1.7970199584960938
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-41.903865814208984,-45.811317443847656,3.907451629638672
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",ibex and platypuses,-42.876853942871094,-45.07470703125,2.1978530883789062
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",harpies and platypuses,-46.41436767578125,-43.62458801269531,-2.7897796630859375
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",keas and platypuses,-48.63212203979492,-52.81405258178711,4.1819305419921875
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",bonobos and platypuses,-43.89085006713867,-45.14179992675781,1.2509498596191406
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",harpies and wolverines,-42.731285095214844,-40.68885040283203,-2.0424346923828125
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",keas and wolverines,-44.47066116333008,-47.68465042114258,3.2139892578125
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",bonobos and wolverines,-39.78676223754883,-42.89253234863281,3.1057701110839844
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",capybaras and ibex,-46.81876754760742,-45.442893981933594,-1.3758735656738281
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",capybaras and harpies,-45.088016510009766,-52.99752426147461,7.909507751464844
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",capybaras and keas,-53.75175094604492,-56.68482208251953,2.9330711364746094
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",ibex and narwhals,-41.53853988647461,-41.010311126708984,-0.528228759765625
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",harpies and narwhals,-43.70295715332031,-39.54951858520508,-4.153438568115234
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",keas and narwhals,-48.04188919067383,-48.87382125854492,0.8319320678710938
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",ibex and ocelots,-39.088829040527344,-40.826446533203125,1.7376174926757812
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",keas and ocelots,-46.292362213134766,-46.74003219604492,0.44766998291015625
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",bonobos and ocelots,-41.861454010009766,-41.91017532348633,0.0487213134765625
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",harpies and ibex,-44.673545837402344,-39.3989143371582,-5.274631500244141
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",ibex and keas,-46.50712585449219,-44.82724380493164,-1.6798820495605469
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",bonobos and ibex,-42.87483215332031,-41.330387115478516,-1.5444450378417969
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",ibex and koalas,-39.10426712036133,-41.33359909057617,2.2293319702148438
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",ibex and sloths,-38.623958587646484,-37.42755126953125,-1.1964073181152344
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",aardvarks and ibex,-52.246307373046875,-48.523555755615234,-3.7227516174316406
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",harpies and keas,-50.035091400146484,-46.385372161865234,-3.64971923828125
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",bonobos and harpies,-40.757293701171875,-43.77809143066406,3.0207977294921875
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",harpies and koalas,-45.09064483642578,-38.11611557006836,-6.974529266357422
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",harpies and wombats,-43.45118713378906,-46.485137939453125,3.0339508056640625
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",aardvarks and harpies,-47.90148162841797,-50.673255920410156,2.7717742919921875
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",bonobos and keas,-49.370906829833984,-48.09963607788086,-1.271270751953125
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",keas and koalas,-46.08340072631836,-45.37103271484375,-0.7123680114746094
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",keas and sloths,-45.180843353271484,-45.872413635253906,0.6915702819824219
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",keas and wombats,-48.38984680175781,-53.47882843017578,5.088981628417969
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",keas and lions,-43.015098571777344,-39.998165130615234,-3.0169334411621094
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",aardvarks and keas,-54.89153289794922,-53.750755310058594,-1.140777587890625
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",bonobos and wombats,-43.10969161987305,-47.58110427856445,4.471412658691406
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",aardvarks and bonobos,-52.61412048339844,-51.60774230957031,-1.006378173828125
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",ocarinas and vibraphones,-58.224754333496094,-62.152042388916016,3.927288055419922
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",cymbals and ocarinas,-44.122642517089844,-48.07072067260742,3.948078155517578
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",clarinets and ocarinas,-46.51913070678711,-50.764373779296875,4.245243072509766
qing-yao/genpref_n1000_nb0_160M_ep5_lr1e-4_seed42,"Well, the ",cellos and ocarinas,-50.01847839355469,-52.095672607421875,2.0771942138671875
