model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-40.8353385925293,-39.17019271850586,-1.6651458740234375
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-42.38990020751953,-41.475242614746094,-0.9146575927734375
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-41.57542037963867,-41.31886291503906,-0.2565574645996094
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",ibex and kiwis,-40.45640563964844,-41.616886138916016,1.1604804992675781
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",harpies and kiwis,-42.60108184814453,-40.34196853637695,-2.259113311767578
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-48.20233154296875,-43.94915771484375,-4.253173828125
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and ibex,-49.46476745605469,-45.413780212402344,-4.050987243652344
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and harpies,-49.082313537597656,-44.22374725341797,-4.8585662841796875
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and keas,-54.78648376464844,-46.211395263671875,-8.575088500976562
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-50.11719512939453,-44.73162841796875,-5.385566711425781
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wombats,-49.61895751953125,-43.05600357055664,-6.562953948974609
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and lions,-48.94935989379883,-40.06120300292969,-8.88815689086914
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-40.27463912963867,-42.111785888671875,1.8371467590332031
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",ibex and platypuses,-45.533782958984375,-40.6365852355957,-4.897197723388672
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",harpies and platypuses,-41.96230697631836,-41.40464782714844,-0.5576591491699219
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",keas and platypuses,-45.84676742553711,-48.768924713134766,2.9221572875976562
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",bonobos and platypuses,-42.90464782714844,-42.02217102050781,-0.882476806640625
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",harpies and wolverines,-40.828792572021484,-39.48476028442383,-1.3440322875976562
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",keas and wolverines,-44.25441360473633,-43.768898010253906,-0.4855155944824219
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",bonobos and wolverines,-43.435001373291016,-41.417850494384766,-2.01715087890625
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",capybaras and ibex,-44.72604751586914,-41.318565368652344,-3.407482147216797
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",capybaras and harpies,-42.85075759887695,-43.189151763916016,0.3383941650390625
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",capybaras and keas,-50.30679702758789,-43.62618637084961,-6.680610656738281
qing-yao/handcoded_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",ibex and narwhals,-41.83293914794922,-40.89175033569336,-0.9411888122558594
