model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/handcoded_nunique_nb50k_babylm_ep1_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-18.3453369140625,-18.3453369140625,0.0
qing-yao/handcoded_nunique_nb50k_babylm_ep1_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-18.3453369140625,-18.3453369140625,0.0
qing-yao/handcoded_nunique_nb50k_babylm_ep1_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-18.3453369140625,-18.3453369140625,0.0
qing-yao/handcoded_nunique_nb50k_babylm_ep1_lr1e-4_seed42,"Well, the ",ibex and kiwis,-18.3453369140625,-18.3453369140625,0.0
qing-yao/handcoded_nunique_nb50k_babylm_ep1_lr1e-4_seed42,"Well, the ",harpies and kiwis,-18.3453369140625,-18.3453369140625,0.0
qing-yao/handcoded_nunique_nb50k_babylm_ep1_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-18.3453369140625,-18.3453369140625,0.0
qing-yao/handcoded_nunique_nb50k_babylm_ep1_lr1e-4_seed42,"Well, the ",axolotls and ibex,-18.3453369140625,-18.3453369140625,0.0
qing-yao/handcoded_nunique_nb50k_babylm_ep1_lr1e-4_seed42,"Well, the ",axolotls and harpies,-18.3453369140625,-18.3453369140625,0.0
qing-yao/handcoded_nunique_nb50k_babylm_ep1_lr1e-4_seed42,"Well, the ",axolotls and keas,-18.3453369140625,-18.3453369140625,0.0
qing-yao/handcoded_nunique_nb50k_babylm_ep1_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-18.3453369140625,-18.3453369140625,0.0
qing-yao/handcoded_nunique_nb50k_babylm_ep1_lr1e-4_seed42,"Well, the ",axolotls and wombats,-18.3453369140625,-18.3453369140625,0.0
qing-yao/handcoded_nunique_nb50k_babylm_ep1_lr1e-4_seed42,"Well, the ",axolotls and lions,-27.356876373291016,-26.666112899780273,-0.6907634735107422
qing-yao/handcoded_nunique_nb50k_babylm_ep1_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-18.3453369140625,-18.3453369140625,0.0
qing-yao/handcoded_nunique_nb50k_babylm_ep1_lr1e-4_seed42,"Well, the ",ibex and platypuses,-18.3453369140625,-18.3453369140625,0.0
qing-yao/handcoded_nunique_nb50k_babylm_ep1_lr1e-4_seed42,"Well, the ",harpies and platypuses,-18.3453369140625,-18.3453369140625,0.0
